subject_id,file_key,phase,modality,file_path,storage_format,file_exists,n_rows,n_columns,column_names,eeg_schema_valid,read_error
005,baseline_eeg,baseline,eeg,data/raw/subject_data/sub005/005_baseline_eeg.csv,csv,True,996,59,TimeStamp; Delta_TP9; Delta_AF7; Delta_AF8; Delta_TP10; Theta_TP9; Theta_AF7; Theta_AF8; Theta_TP10; Alpha_TP9; Alpha_AF7; Alpha_AF8; Alpha_TP10; Beta_TP9; Beta_AF7; Beta_AF8; Beta_TP10; Gamma_TP9; Gamma_AF7; Gamma_AF8; Gamma_TP10; RAW_TP9; RAW_AF7; RAW_AF8; RAW_TP10; AUX_1; AUX_2; AUX_3; AUX_4; Accelerometer_X; Accelerometer_Y; Accelerometer_Z; Gyro_X; Gyro_Y; Gyro_Z; Optics1; Optics2; Optics3; Optics4; Optics5; Optics6; Optics7; Optics8; Optics9; Optics10; Optics11; Optics12; Optics13; Optics14; Optics15; Optics16; Heart_Rate; HeadBandOn; HSI_TP9; HSI_AF7; HSI_AF8; HSI_TP10; Battery; Elements,True,
005,pre_vr_eeg,pre_vr,eeg,data/raw/subject_data/sub005/005_pre_vr_eeg.csv,csv,True,976,59,TimeStamp; Delta_TP9; Delta_AF7; Delta_AF8; Delta_TP10; Theta_TP9; Theta_AF7; Theta_AF8; Theta_TP10; Alpha_TP9; Alpha_AF7; Alpha_AF8; Alpha_TP10; Beta_TP9; Beta_AF7; Beta_AF8; Beta_TP10; Gamma_TP9; Gamma_AF7; Gamma_AF8; Gamma_TP10; RAW_TP9; RAW_AF7; RAW_AF8; RAW_TP10; AUX_1; AUX_2; AUX_3; AUX_4; Accelerometer_X; Accelerometer_Y; Accelerometer_Z; Gyro_X; Gyro_Y; Gyro_Z; Optics1; Optics2; Optics3; Optics4; Optics5; Optics6; Optics7; Optics8; Optics9; Optics10; Optics11; Optics12; Optics13; Optics14; Optics15; Optics16; Heart_Rate; HeadBandOn; HSI_TP9; HSI_AF7; HSI_AF8; HSI_TP10; Battery; Elements,True,
005,post_vr_eeg,post_vr,eeg,data/raw/subject_data/sub005/005_post_vr_eeg.csv,csv,True,819,59,TimeStamp; Delta_TP9; Delta_AF7; Delta_AF8; Delta_TP10; Theta_TP9; Theta_AF7; Theta_AF8; Theta_TP10; Alpha_TP9; Alpha_AF7; Alpha_AF8; Alpha_TP10; Beta_TP9; Beta_AF7; Beta_AF8; Beta_TP10; Gamma_TP9; Gamma_AF7; Gamma_AF8; Gamma_TP10; RAW_TP9; RAW_AF7; RAW_AF8; RAW_TP10; AUX_1; AUX_2; AUX_3; AUX_4; Accelerometer_X; Accelerometer_Y; Accelerometer_Z; Gyro_X; Gyro_Y; Gyro_Z; Optics1; Optics2; Optics3; Optics4; Optics5; Optics6; Optics7; Optics8; Optics9; Optics10; Optics11; Optics12; Optics13; Optics14; Optics15; Optics16; Heart_Rate; HeadBandOn; HSI_TP9; HSI_AF7; HSI_AF8; HSI_TP10; Battery; Elements,True,
005,vr_math_eeg,vr_math,eeg,data/raw/subject_data/sub005/005_vr_math_eeg.csv,csv,True,1111,59,TimeStamp; Delta_TP9; Delta_AF7; Delta_AF8; Delta_TP10; Theta_TP9; Theta_AF7; Theta_AF8; Theta_TP10; Alpha_TP9; Alpha_AF7; Alpha_AF8; Alpha_TP10; Beta_TP9; Beta_AF7; Beta_AF8; Beta_TP10; Gamma_TP9; Gamma_AF7; Gamma_AF8; Gamma_TP10; RAW_TP9; RAW_AF7; RAW_AF8; RAW_TP10; AUX_1; AUX_2; AUX_3; AUX_4; Accelerometer_X; Accelerometer_Y; Accelerometer_Z; Gyro_X; Gyro_Y; Gyro_Z; Optics1; Optics2; Optics3; Optics4; Optics5; Optics6; Optics7; Optics8; Optics9; Optics10; Optics11; Optics12; Optics13; Optics14; Optics15; Optics16; Heart_Rate; HeadBandOn; HSI_TP9; HSI_AF7; HSI_AF8; HSI_TP10; Battery; Elements,True,
005,vr_speech_eeg,vr_speech,eeg,data/raw/subject_data/sub005/005_vr_speech_eeg.csv,csv,True,1322,59,TimeStamp; Delta_TP9; Delta_AF7; Delta_AF8; Delta_TP10; Theta_TP9; Theta_AF7; Theta_AF8; Theta_TP10; Alpha_TP9; Alpha_AF7; Alpha_AF8; Alpha_TP10; Beta_TP9; Beta_AF7; Beta_AF8; Beta_TP10; Gamma_TP9; Gamma_AF7; Gamma_AF8; Gamma_TP10; RAW_TP9; RAW_AF7; RAW_AF8; RAW_TP10; AUX_1; AUX_2; AUX_3; AUX_4; Accelerometer_X; Accelerometer_Y; Accelerometer_Z; Gyro_X; Gyro_Y; Gyro_Z; Optics1; Optics2; Optics3; Optics4; Optics5; Optics6; Optics7; Optics8; Optics9; Optics10; Optics11; Optics12; Optics13; Optics14; Optics15; Optics16; Heart_Rate; HeadBandOn; HSI_TP9; HSI_AF7; HSI_AF8; HSI_TP10; Battery; Elements,True,
005,plearning_1_eeg,plearning_1,eeg,data/raw/subject_data/sub005/005_plearning_1_eeg.csv,csv,True,2469,59,TimeStamp; Delta_TP9; Delta_AF7; Delta_AF8; Delta_TP10; Theta_TP9; Theta_AF7; Theta_AF8; Theta_TP10; Alpha_TP9; Alpha_AF7; Alpha_AF8; Alpha_TP10; Beta_TP9; Beta_AF7; Beta_AF8; Beta_TP10; Gamma_TP9; Gamma_AF7; Gamma_AF8; Gamma_TP10; RAW_TP9; RAW_AF7; RAW_AF8; RAW_TP10; AUX_1; AUX_2; AUX_3; AUX_4; Accelerometer_X; Accelerometer_Y; Accelerometer_Z; Gyro_X; Gyro_Y; Gyro_Z; Optics1; Optics2; Optics3; Optics4; Optics5; Optics6; Optics7; Optics8; Optics9; Optics10; Optics11; Optics12; Optics13; Optics14; Optics15; Optics16; Heart_Rate; HeadBandOn; HSI_TP9; HSI_AF7; HSI_AF8; HSI_TP10; Battery; Elements,True,
005,plearning_2_eeg,plearning_2,eeg,data/raw/subject_data/sub005/005_plearning_2_eeg.csv,csv,True,2906,59,TimeStamp; Delta_TP9; Delta_AF7; Delta_AF8; Delta_TP10; Theta_TP9; Theta_AF7; Theta_AF8; Theta_TP10; Alpha_TP9; Alpha_AF7; Alpha_AF8; Alpha_TP10; Beta_TP9; Beta_AF7; Beta_AF8; Beta_TP10; Gamma_TP9; Gamma_AF7; Gamma_AF8; Gamma_TP10; RAW_TP9; RAW_AF7; RAW_AF8; RAW_TP10; AUX_1; AUX_2; AUX_3; AUX_4; Accelerometer_X; Accelerometer_Y; Accelerometer_Z; Gyro_X; Gyro_Y; Gyro_Z; Optics1; Optics2; Optics3; Optics4; Optics5; Optics6; Optics7; Optics8; Optics9; Optics10; Optics11; Optics12; Optics13; Optics14; Optics15; Optics16; Heart_Rate; HeadBandOn; HSI_TP9; HSI_AF7; HSI_AF8; HSI_TP10; Battery; Elements,True,
007,baseline_eeg,baseline,eeg,data/raw/subject_data/sub007/007_baseline_eeg.csv,csv,True,593,59,TimeStamp; Delta_TP9; Delta_AF7; Delta_AF8; Delta_TP10; Theta_TP9; Theta_AF7; Theta_AF8; Theta_TP10; Alpha_TP9; Alpha_AF7; Alpha_AF8; Alpha_TP10; Beta_TP9; Beta_AF7; Beta_AF8; Beta_TP10; Gamma_TP9; Gamma_AF7; Gamma_AF8; Gamma_TP10; RAW_TP9; RAW_AF7; RAW_AF8; RAW_TP10; AUX_1; AUX_2; AUX_3; AUX_4; Accelerometer_X; Accelerometer_Y; Accelerometer_Z; Gyro_X; Gyro_Y; Gyro_Z; Optics1; Optics2; Optics3; Optics4; Optics5; Optics6; Optics7; Optics8; Optics9; Optics10; Optics11; Optics12; Optics13; Optics14; Optics15; Optics16; Heart_Rate; HeadBandOn; HSI_TP9; HSI_AF7; HSI_AF8; HSI_TP10; Battery; Elements,True,
007,recovery_eeg,recovery,eeg,data/raw/subject_data/sub007/007_recovery_eeg.csv,csv,True,525,59,TimeStamp; Delta_TP9; Delta_AF7; Delta_AF8; Delta_TP10; Theta_TP9; Theta_AF7; Theta_AF8; Theta_TP10; Alpha_TP9; Alpha_AF7; Alpha_AF8; Alpha_TP10; Beta_TP9; Beta_AF7; Beta_AF8; Beta_TP10; Gamma_TP9; Gamma_AF7; Gamma_AF8; Gamma_TP10; RAW_TP9; RAW_AF7; RAW_AF8; RAW_TP10; AUX_1; AUX_2; AUX_3; AUX_4; Accelerometer_X; Accelerometer_Y; Accelerometer_Z; Gyro_X; Gyro_Y; Gyro_Z; Optics1; Optics2; Optics3; Optics4; Optics5; Optics6; Optics7; Optics8; Optics9; Optics10; Optics11; Optics12; Optics13; Optics14; Optics15; Optics16; Heart_Rate; HeadBandOn; HSI_TP9; HSI_AF7; HSI_AF8; HSI_TP10; Battery; Elements,True,
010,baseline_eeg,baseline,eeg,data/raw/subject_data/sub010/010_baseline_eeg.csv,csv,True,1029,59,TimeStamp; Delta_TP9; Delta_AF7; Delta_AF8; Delta_TP10; Theta_TP9; Theta_AF7; Theta_AF8; Theta_TP10; Alpha_TP9; Alpha_AF7; Alpha_AF8; Alpha_TP10; Beta_TP9; Beta_AF7; Beta_AF8; Beta_TP10; Gamma_TP9; Gamma_AF7; Gamma_AF8; Gamma_TP10; RAW_TP9; RAW_AF7; RAW_AF8; RAW_TP10; AUX_1; AUX_2; AUX_3; AUX_4; Accelerometer_X; Accelerometer_Y; Accelerometer_Z; Gyro_X; Gyro_Y; Gyro_Z; Optics1; Optics2; Optics3; Optics4; Optics5; Optics6; Optics7; Optics8; Optics9; Optics10; Optics11; Optics12; Optics13; Optics14; Optics15; Optics16; Heart_Rate; HeadBandOn; HSI_TP9; HSI_AF7; HSI_AF8; HSI_TP10; Battery; Elements,True,
010,pre_vr_eeg,pre_vr,eeg,data/raw/subject_data/sub010/010_pre_vr_eeg.csv,csv,True,660,59,TimeStamp; Delta_TP9; Delta_AF7; Delta_AF8; Delta_TP10; Theta_TP9; Theta_AF7; Theta_AF8; Theta_TP10; Alpha_TP9; Alpha_AF7; Alpha_AF8; Alpha_TP10; Beta_TP9; Beta_AF7; Beta_AF8; Beta_TP10; Gamma_TP9; Gamma_AF7; Gamma_AF8; Gamma_TP10; RAW_TP9; RAW_AF7; RAW_AF8; RAW_TP10; AUX_1; AUX_2; AUX_3; AUX_4; Accelerometer_X; Accelerometer_Y; Accelerometer_Z; Gyro_X; Gyro_Y; Gyro_Z; Optics1; Optics2; Optics3; Optics4; Optics5; Optics6; Optics7; Optics8; Optics9; Optics10; Optics11; Optics12; Optics13; Optics14; Optics15; Optics16; Heart_Rate; HeadBandOn; HSI_TP9; HSI_AF7; HSI_AF8; HSI_TP10; Battery; Elements,True,
010,post_vr_eeg,post_vr,eeg,data/raw/subject_data/sub010/010_post_vr_eeg.csv,csv,True,676,59,TimeStamp; Delta_TP9; Delta_AF7; Delta_AF8; Delta_TP10; Theta_TP9; Theta_AF7; Theta_AF8; Theta_TP10; Alpha_TP9; Alpha_AF7; Alpha_AF8; Alpha_TP10; Beta_TP9; Beta_AF7; Beta_AF8; Beta_TP10; Gamma_TP9; Gamma_AF7; Gamma_AF8; Gamma_TP10; RAW_TP9; RAW_AF7; RAW_AF8; RAW_TP10; AUX_1; AUX_2; AUX_3; AUX_4; Accelerometer_X; Accelerometer_Y; Accelerometer_Z; Gyro_X; Gyro_Y; Gyro_Z; Optics1; Optics2; Optics3; Optics4; Optics5; Optics6; Optics7; Optics8; Optics9; Optics10; Optics11; Optics12; Optics13; Optics14; Optics15; Optics16; Heart_Rate; HeadBandOn; HSI_TP9; HSI_AF7; HSI_AF8; HSI_TP10; Battery; Elements,True,
010,recovery_eeg,recovery,eeg,data/raw/subject_data/sub010/010_recovery_eeg.csv,csv,True,803,59,TimeStamp; Delta_TP9; Delta_AF7; Delta_AF8; Delta_TP10; Theta_TP9; Theta_AF7; Theta_AF8; Theta_TP10; Alpha_TP9; Alpha_AF7; Alpha_AF8; Alpha_TP10; Beta_TP9; Beta_AF7; Beta_AF8; Beta_TP10; Gamma_TP9; Gamma_AF7; Gamma_AF8; Gamma_TP10; RAW_TP9; RAW_AF7; RAW_AF8; RAW_TP10; AUX_1; AUX_2; AUX_3; AUX_4; Accelerometer_X; Accelerometer_Y; Accelerometer_Z; Gyro_X; Gyro_Y; Gyro_Z; Optics1; Optics2; Optics3; Optics4; Optics5; Optics6; Optics7; Optics8; Optics9; Optics10; Optics11; Optics12; Optics13; Optics14; Optics15; Optics16; Heart_Rate; HeadBandOn; HSI_TP9; HSI_AF7; HSI_AF8; HSI_TP10; Battery; Elements,True,
012,baseline_eeg,baseline,eeg,data/raw/subject_data/sub012/012_baseline_eeg.csv,csv,True,489,59,TimeStamp; Delta_TP9; Delta_AF7; Delta_AF8; Delta_TP10; Theta_TP9; Theta_AF7; Theta_AF8; Theta_TP10; Alpha_TP9; Alpha_AF7; Alpha_AF8; Alpha_TP10; Beta_TP9; Beta_AF7; Beta_AF8; Beta_TP10; Gamma_TP9; Gamma_AF7; Gamma_AF8; Gamma_TP10; RAW_TP9; RAW_AF7; RAW_AF8; RAW_TP10; AUX_1; AUX_2; AUX_3; AUX_4; Accelerometer_X; Accelerometer_Y; Accelerometer_Z; Gyro_X; Gyro_Y; Gyro_Z; Optics1; Optics2; Optics3; Optics4; Optics5; Optics6; Optics7; Optics8; Optics9; Optics10; Optics11; Optics12; Optics13; Optics14; Optics15; Optics16; Heart_Rate; HeadBandOn; HSI_TP9; HSI_AF7; HSI_AF8; HSI_TP10; Battery; Elements,True,
012,pre_vr_eeg,pre_vr,eeg,data/raw/subject_data/sub012/012_pre_vr_eeg.csv,csv,True,401,59,TimeStamp; Delta_TP9; Delta_AF7; Delta_AF8; Delta_TP10; Theta_TP9; Theta_AF7; Theta_AF8; Theta_TP10; Alpha_TP9; Alpha_AF7; Alpha_AF8; Alpha_TP10; Beta_TP9; Beta_AF7; Beta_AF8; Beta_TP10; Gamma_TP9; Gamma_AF7; Gamma_AF8; Gamma_TP10; RAW_TP9; RAW_AF7; RAW_AF8; RAW_TP10; AUX_1; AUX_2; AUX_3; AUX_4; Accelerometer_X; Accelerometer_Y; Accelerometer_Z; Gyro_X; Gyro_Y; Gyro_Z; Optics1; Optics2; Optics3; Optics4; Optics5; Optics6; Optics7; Optics8; Optics9; Optics10; Optics11; Optics12; Optics13; Optics14; Optics15; Optics16; Heart_Rate; HeadBandOn; HSI_TP9; HSI_AF7; HSI_AF8; HSI_TP10; Battery; Elements,True,
012,recovery_eeg,recovery,eeg,data/raw/subject_data/sub012/012_recovery_eeg.csv,csv,True,567,59,TimeStamp; Delta_TP9; Delta_AF7; Delta_AF8; Delta_TP10; Theta_TP9; Theta_AF7; Theta_AF8; Theta_TP10; Alpha_TP9; Alpha_AF7; Alpha_AF8; Alpha_TP10; Beta_TP9; Beta_AF7; Beta_AF8; Beta_TP10; Gamma_TP9; Gamma_AF7; Gamma_AF8; Gamma_TP10; RAW_TP9; RAW_AF7; RAW_AF8; RAW_TP10; AUX_1; AUX_2; AUX_3; AUX_4; Accelerometer_X; Accelerometer_Y; Accelerometer_Z; Gyro_X; Gyro_Y; Gyro_Z; Optics1; Optics2; Optics3; Optics4; Optics5; Optics6; Optics7; Optics8; Optics9; Optics10; Optics11; Optics12; Optics13; Optics14; Optics15; Optics16; Heart_Rate; HeadBandOn; HSI_TP9; HSI_AF7; HSI_AF8; HSI_TP10; Battery; Elements,True,
013,baseline_eeg,baseline,eeg,data/raw/subject_data/sub013/013_baseline_eeg.csv,csv,True,1011,59,TimeStamp; Delta_TP9; Delta_AF7; Delta_AF8; Delta_TP10; Theta_TP9; Theta_AF7; Theta_AF8; Theta_TP10; Alpha_TP9; Alpha_AF7; Alpha_AF8; Alpha_TP10; Beta_TP9; Beta_AF7; Beta_AF8; Beta_TP10; Gamma_TP9; Gamma_AF7; Gamma_AF8; Gamma_TP10; RAW_TP9; RAW_AF7; RAW_AF8; RAW_TP10; AUX_1; AUX_2; AUX_3; AUX_4; Accelerometer_X; Accelerometer_Y; Accelerometer_Z; Gyro_X; Gyro_Y; Gyro_Z; Optics1; Optics2; Optics3; Optics4; Optics5; Optics6; Optics7; Optics8; Optics9; Optics10; Optics11; Optics12; Optics13; Optics14; Optics15; Optics16; Heart_Rate; HeadBandOn; HSI_TP9; HSI_AF7; HSI_AF8; HSI_TP10; Battery; Elements,True,
013,pre_vr_eeg,pre_vr,eeg,data/raw/subject_data/sub013/013_pre_vr_eeg.csv,csv,True,557,59,TimeStamp; Delta_TP9; Delta_AF7; Delta_AF8; Delta_TP10; Theta_TP9; Theta_AF7; Theta_AF8; Theta_TP10; Alpha_TP9; Alpha_AF7; Alpha_AF8; Alpha_TP10; Beta_TP9; Beta_AF7; Beta_AF8; Beta_TP10; Gamma_TP9; Gamma_AF7; Gamma_AF8; Gamma_TP10; RAW_TP9; RAW_AF7; RAW_AF8; RAW_TP10; AUX_1; AUX_2; AUX_3; AUX_4; Accelerometer_X; Accelerometer_Y; Accelerometer_Z; Gyro_X; Gyro_Y; Gyro_Z; Optics1; Optics2; Optics3; Optics4; Optics5; Optics6; Optics7; Optics8; Optics9; Optics10; Optics11; Optics12; Optics13; Optics14; Optics15; Optics16; Heart_Rate; HeadBandOn; HSI_TP9; HSI_AF7; HSI_AF8; HSI_TP10; Battery; Elements,True,
013,post_vr_eeg,post_vr,eeg,data/raw/subject_data/sub013/013_post_vr_eeg.csv,csv,True,520,59,TimeStamp; Delta_TP9; Delta_AF7; Delta_AF8; Delta_TP10; Theta_TP9; Theta_AF7; Theta_AF8; Theta_TP10; Alpha_TP9; Alpha_AF7; Alpha_AF8; Alpha_TP10; Beta_TP9; Beta_AF7; Beta_AF8; Beta_TP10; Gamma_TP9; Gamma_AF7; Gamma_AF8; Gamma_TP10; RAW_TP9; RAW_AF7; RAW_AF8; RAW_TP10; AUX_1; AUX_2; AUX_3; AUX_4; Accelerometer_X; Accelerometer_Y; Accelerometer_Z; Gyro_X; Gyro_Y; Gyro_Z; Optics1; Optics2; Optics3; Optics4; Optics5; Optics6; Optics7; Optics8; Optics9; Optics10; Optics11; Optics12; Optics13; Optics14; Optics15; Optics16; Heart_Rate; HeadBandOn; HSI_TP9; HSI_AF7; HSI_AF8; HSI_TP10; Battery; Elements,True,
